BENDORF,68480,,,X,,,X
BETTLACH,68480,,,X,,,X
BIEDERTHAL,68480,,,X,,,X
BOUXWILLER,68480,,,X,,,X
COURTAVON,68480,,,X,,,X
DURLINSDORF,68480,,,X,,,X
DURMENACH,68480,,,X,,,X
FERRETTE,68480,,,X,,,X
FISLIS,68480,,,X,,,X
KIFFIS,68480,,,X,,,X
KOESTLACH,68480,,,X,,,X
LEVONCOURT,68480,,,X,,,X
LIEBSDORF,68480,,,X,,,X
LIGSDORF,68480,,,X,,,X
LINSDORF,68480,,,X,,,X
LUCELLE,68480,,,X,,,X
LUTTER,68480,,,X,,,X
MOERNACH,68480,,,X,,,X
OBERLARG,68480,,,X,,,X
OLTINGUE,68480,,,X,,,X
PFETTERHOUSE,68480,,,X,,,X
RAEDERSDORF,68480,,,X,,,X
ROPPENTZWILLER,68480,,,X,,,X
SONDERSDORF,68480,,,X,,,X
VIEUX FERRETTE,68480,,,X,,,X
WERENTZHOUSE,68480,,,X,,,X
WINKEL,68480,,,X,,,X
WOLSCHWILLER,68480,,,X,,,X
BANTZENHEIM,68490,,X,,,X,
CHALAMPE,68490,,X,,,X,
HOMBOURG,68490,,X,,,X,
OTTMARSHEIM,68490,,X,,,X,
PETIT LANDAU,68490,,X,,,X,
BERGHOLTZ,68500,,X,,,X,
BERGHOLTZZELL,68500,,X,,,X,
BERRWILLER,68500,,X,,,X,
GUEBWILLER,68500,,X,,,X,
ISSENHEIM,68500,,X,,,X,
JUNGHOLTZ,68500,,X,,,X,
MERXHEIM,68500,,X,,,X,
ORSCHWIHR,68500,,X,,,X,
RIMBACH PRES GUEBWILLER,68500,,X,,,X,
RIMBACHZELL,68500,,X,,,X,
WUENHEIM,68500,,X,,,X,
GEISPITZEN,68510,,X,,,X,
HELFRANTZKIRCH,68510,,X,,X,,X
KAPPELEN,68510,,X,,X,,X
KOETZINGUE,68510,,X,,X,,X
MAGSTATT LE BAS,68510,,X,,,X,
MAGSTATT LE HAUT,68510,,X,,,X,
RANTZWILLER,68510,,X,,,X,
SIERENTZ,68510,,X,,,X,
STETTEN,68510,,X,,,X,
UFFHEIM,68510,,X,,,X,
WALTENHEIM,68510,,X,,,X,
BURNHAUPT LE BAS,68520,,,,X,,
BURNHAUPT LE HAUT,68520,,,,X,,
SCHWEIGHOUSE THANN,68520,,,X,,,X
BUHL,68530,,X,,,X,
MURBACH,68530,,X,,,X,
BOLLWILLER,68540,,X,,,X,
FELDKIRCH,68540,,X,,,X,
MALMERSPACH,68550,,,X,,,X
ST AMARIN,68550,,,X,,,X
BETTENDORF,68560,,,X,,,X
HEIMERSDORF,68560,,,X,,,X
HIRSINGUE,68560,,,X,,,X
RUEDERBACH,68560,,,X,,,X
OSENBACH,68570,,X,,,X,
SOULTZMATT,68570,,X,,,X,
WINTZFELDEN,68570,,X,,,X,
BISEL,68580,,,X,,,X
FRIESEN,68580,,,X,,,X
HINDLINGEN,68580,,,X,,,X
LARGITZEN,68580,,,X,,,X
MOOSLARGUE,68580,,,X,,,X
NIEDERLARG,68580,,,X,,,X
SEPPOIS LE BAS,68580,,,X,,,X
SEPPOIS LE HAUT,68580,,,X,,,X
STRUETH,68580,,,X,,,X
UEBERSTRASS,68580,,,X,,,X
RODERN,68590,,X,,,X,
RORSCHWIHR,68590,,X,,,X,
ST HIPPOLYTE,68590,,X,,,X,
THANNENKIRCH,68590,,X,,,X,
ALGOLSHEIM,68600,,X,,,X,
BIESHEIM,68600,,X,,,X,
DESSENHEIM,68600,,X,,,X,
GEISWASSER,68600,,X,,,X,
HEITEREN,68600,,X,,,X,
HETTENSCHLAG,68600,,X,,,X,
NEUF BRISACH,68600,,X,,,X,
OBERSAASHEIM,68600,,X,,,X,
VOGELGRUN,68600,,X,,,X,
VOLGELSHEIM,68600,,X,,,X,
WECKOLSHEIM,68600,,X,,,X,
WOLFGANTZEN,68600,,X,,,X,
LAUTENBACH,68610,,X,,,X,
LAUTENBACHZELL,68610,,X,,,X,
LINTHAL,68610,,X,,,X,
MARKSTEIN,68610,,X,,,X,
SCHWEIGHOUSE,68610,,X,,,X,
SENGERN,68610,,X,,,X,
BITSCHWILLER LES THANN,68620,,,X,,,X
BENNWIHR,68630,,X,,,X,
MITTELWIHR,68630,,X,,,X,
FELDBACH,68640,,,X,,,X
MOYEN MUESPACH,68640,,X,,X,,X
MUESPACH,68640,,X,,X,,X
MUESPACH LE HAUT,68640,,X,,X,,X
RIESPACH,68640,,,X,,,X
STEINSOULTZ,68640,,,X,,,X
WALDIGHOFEN,68640,,,X,,,X
LE BONHOMME,68650,,X,,,X,
LAPOUTROIE,68650,,X,,,X,
LIEPVRE,68660,,X,,,X,
ROMBACH LE FRANC,68660,,X,,,X,
KEMBS,68680,,X,,,X,
NIFFER,68680,,X,,,X,
KEMBS LOECHLE,68680,,X,,,X,
GEISHOUSE,68690,,,X,,,X
MOOSCH,68690,,,X,,,X
ASPACH LE BAS,68700,,,X,,,X
ASPACH LE HAUT,68700,,,X,,,X
CERNAY,68700,,,X,,,X
MICHELBACH,68700,,,X,,,X
STEINBACH,68700,,,X,,,X
UFFHOLTZ,68700,,,X,,,X
WATTWILLER,68700,,,X,,,X
BRINIGHOFFEN,68720,,,,X,,
EGLINGEN,68720,,,,X,,
ST BERNARD,68720,,,,X,,
FLAXLANDEN,68720,,X,,,X,
FROENINGEN,68720,,,X,,,X
HEIDWILLER,68720,,,,X,,
HOCHSTATT,68720,,,X,,,X
ILLFURTH,68720,,,X,,,X
LUEMSCHWILLER,68720,,,X,,,X
SPECHBACH LE BAS,68720,,,,X,,
SPECHBACH LE HAUT,68720,,,,X,,
TAGOLSHEIM,68720,,,X,,,X
ZILLISHEIM,68720,,X,X,X,X,X
BLOTZHEIM,68730,,X,,X,,X
MICHELBACH LE BAS,68730,,X,,X,,X
RANSPACH LE BAS,68730,,X,,X,,X
BALGAU,68740,,X,,,X,
BLODELSHEIM,68740,,X,,,X,
FESSENHEIM,68740,,X,,,X,
HIRTZFELDEN,68740,,X,,,X,
MUNCHHOUSE,68740,,X,,,X,
NAMBSHEIM,68740,,X,,,X,
ROGGENHOUSE,68740,,X,,,X,
RUSTENHART,68740,,X,,,X,
RUMERSHEIM LE HAUT,68740,,X,,,X,
BERGHEIM,68750,,X,,,X,
ALTENBACH,68760,,,X,,,X
GOLDBACH ALTENBACH,68760,,,X,,,X
WILLER SUR THUR,68760,,,X,,,X
AMMERSCHWIHR,68770,,X,,,X,
BRETTEN,68780,,,,X,,
DIEFMATTEN,68780,,,,X,,
MORTZWILLER,68780,,,,X,,
SENTHEIM,68780,,,,X,,
SOPPE LE BAS,68780,,,,X,,
SOPPE LE HAUT,68780,,,,X,,
STERNENBERG,68780,,,,X,,
MORSCHWILLER LE BAS,68790,,X,X,X,X,X
LEIMBACH,68800,,,X,,,X
RAMMERSMATT,68800,,,X,,,X
RODEREN,68800,,,X,,,X
THANN,68800,,,X,,,X
VIEUX THANN,68800,,,X,,,X
KRUTH,68820,,,X,,,X
WILDENSTEIN,68820,,,X,,,X
ODEREN,68830,,,X,,,X
PULVERSHEIM,68840,,X,,,X,
STAFFELFELDEN,68850,,X,,,X,
BARTENHEIM,68870,,X,,X,,X
BRINCKHEIM,68870,,X,,X,,X
BARTENHEIM LA CHAUSSEE,68870,,X,,X,,X
MEYENHEIM,68890,,X,,,X,
REGUISHEIM,68890,,X,,,X,
LABAROCHE,68910,,X,,,X,
COLMAR,68920,,X,,,X,
WETTOLSHEIM,68920,,X,,,X,
WINTZENHEIM,68920,,X,,,X,
REININGUE,68950,,,X,,,X
GRENTZINGEN,68960,,,X,,,X
HENFLINGEN,68960,,,X,,,X
OBERDORF,68960,,,X,,,X
WILLER,68960,,,X,,,X
GUEMAR,68970,,X,,,X,
ILLHAEUSERN,68970,,X,,,X,
BEBLENHEIM,68980,,X,,,X,
GALFINGUE,68990,,X,,,X,
HEIMSBRUNN,68990,,X,,,X,
